Solver Time,Execution Time
1.0014761,0.0002573000000001
1.1477450000000002,0.0001784999999996
1.3007437000000004,0.0002366
0.8774263000000007,0.0001875
1.2566663,0.0001835999999997
1.4866653000000003,0.0003106999999999
0.8664538000000004,0.0002692999999993
1.6007546999999995,0.0004159000000001
1.121310300000001,0.0003304999999986
0.915163699999999,0.0003933000000007
1.0745672000000002,0.0001895999999999
1.1238283999999998,0.0002270000000001
1.2384811,0.0002415999999998
1.3477867000000003,0.0002250999999997
1.1246042999999997,0.00017590000000033967
